Time,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Category,Weather
13,63,15,24.1,101.94,0,Cloudy
14,65,19,24.1,101.97,0,Mostly Cloudy
15,61,20,48.3,102.04,0,Mostly Cloudy
16,59,20,24.1,102.09,0,Mostly Cloudy
17,59,17,25,102.17,0,Mainly Clear
18,62,17,25,102.23,0,Mainly Clear
19,62,15,25,102.26,0,Mostly Cloudy
20,65,15,25,102.28,0,Mostly Cloudy
21,64,11,25,102.26,0,Mostly Cloudy
22,65,7,25,102.22,0,Mostly Cloudy
23,68,7,25,102.22,0,Mostly Cloudy
0,66,6,25,102.17,0,Mostly Cloudy
1,68,0,25,102.13,0,Mostly Cloudy
2,66,4,25,102.15,0,Mostly Cloudy
3,70,0,25,102.11,0,Cloudy
4,69,9,25,102.02,0,Cloudy
5,71,11,25,101.93,0,Cloudy
6,72,11,25,101.86,0,Cloudy
7,72,15,25,101.8,0,Mostly Cloudy
8,70,13,16.1,101.74,0,Snow
9,75,11,12.9,101.68,0,Snow
10,76,9,16.1,101.64,0,Snow
11,77,7,24.1,101.54,0,Snow
12,73,9,24.1,101.4,0,Cloudy
13,74,7,24.1,101.27,0,Cloudy
14,76,7,24.1,101.2,0,Cloudy
15,74,9,24.1,101.13,0,Mostly Cloudy
16,72,11,24.1,101.05,0,Mostly Cloudy
17,72,15,24.1,100.96,0,Mostly Cloudy
18,71,20,25,100.9,0,Mostly Cloudy
19,70,19,25,100.83,0,Mostly Cloudy
20,70,15,25,100.77,0,Mostly Cloudy
21,71,11,25,100.64,0,Mostly Cloudy
22,64,19,25,100.54,0,Mostly Cloudy
23,64,17,25,100.45,0,Cloudy
0,57,30,25,100.38,0,Cloudy
1,66,35,25,100.28,0,Snow
2,75,19,6.4,100.23,0,Snow
3,77,28,25,100.16,0,Snow
4,81,26,25,100.07,0,Cloudy
5,86,30,9.7,100.02,1,"Rain,Snow"
6,87,30,8,100.04,0,Snow
7,85,20,8,100.08,0,Snow
8,85,24,16.1,100.11,0,Cloudy
9,84,17,19.3,100.23,0,Cloudy
10,81,24,24.1,100.27,0,Mostly Cloudy
11,77,22,24.1,100.29,0,Mainly Clear
12,72,30,24.1,100.32,0,Mostly Cloudy
13,64,26,24.1,100.36,0,Mostly Cloudy
14,64,26,24.1,100.45,0,Mainly Clear
15,61,30,24.1,100.65,0,Mainly Clear
16,55,30,24.1,100.81,0,Mostly Cloudy
17,54,17,24.1,100.91,0,Mostly Cloudy
18,54,15,25,101.04,0,Mostly Cloudy
19,53,15,25,101.15,0,Mostly Cloudy
20,53,13,25,101.24,0,Mostly Cloudy
21,57,9,25,101.32,0,Mostly Cloudy
22,55,13,25,101.34,0,Mostly Cloudy
23,57,19,25,101.44,0,Mostly Cloudy
0,55,17,25,101.43,0,Mostly Cloudy
1,56,17,25,101.49,0,Clear
2,56,19,25,101.57,0,Clear
3,57,19,25,101.64,0,Clear
4,57,17,25,101.66,0,Clear
5,55,19,25,101.66,0,Mainly Clear
6,57,20,25,101.72,0,Mainly Clear
7,57,13,25,101.77,0,Mostly Cloudy
8,57,15,24.1,101.8,0,Mostly Cloudy
9,58,15,24.1,101.81,0,Mostly Cloudy
10,55,11,19.3,101.89,0,Cloudy
11,54,15,24.1,101.78,0,Mostly Cloudy
12,53,17,24.1,101.68,0,Cloudy
13,52,19,24.1,101.63,0,Mostly Cloudy
14,52,20,24.1,101.56,0,Mostly Cloudy
15,50,20,24.1,101.61,0,Mostly Cloudy
16,47,20,24.1,101.6,0,Mostly Cloudy
17,51,26,24.1,101.56,0,Mostly Cloudy
18,52,24,25,101.51,0,Mostly Cloudy
19,54,30,25,101.43,0,Mostly Cloudy
20,57,24,25,101.4,0,Cloudy
21,65,19,25,101.32,0,Cloudy
22,65,22,25,101.29,0,Cloudy
23,67,20,25,101.19,0,Mostly Cloudy
0,66,19,25,101.17,0,Mostly Cloudy
1,65,24,25,101.13,0,Mostly Cloudy
2,64,26,25,101.08,0,Cloudy
3,63,33,25,101.02,0,Cloudy
4,64,22,25,100.93,0,Cloudy
5,64,30,25,100.81,0,Cloudy
6,65,28,25,100.76,0,Cloudy
7,65,28,16.1,100.69,0,Snow Showers
8,72,33,6.4,100.61,0,Snow
9,75,33,3.2,100.54,0,Snow
10,77,35,4.8,100.46,0,Snow
11,76,32,2,100.35,0,Snow
12,79,32,4.8,100.22,0,Snow
13,81,33,1.2,100.09,0,Snow
14,81,28,1.2,99.97,0,Snow
15,83,26,0.8,99.9,0,Moderate Snow
16,83,33,0.6,99.88,0,Moderate Snow
17,83,33,1,99.83,0,Snow
18,81,35,1.2,99.76,0,Snow
19,82,30,4,99.72,0,Snow
20,81,28,6.4,99.64,0,Snow
21,80,24,6.4,99.56,0,Snow
22,81,26,25,99.47,0,Snow
23,83,28,3.2,99.4,0,Snow
0,83,28,2.4,99.3,0,Snow
1,81,24,4.8,99.24,0,Snow
2,81,22,25,99.22,0,Snow
3,83,19,4.8,99.19,1,"Freezing Drizzle,Snow"
4,83,24,11.3,99.13,0,Cloudy
5,82,20,12.9,99.06,0,Cloudy
6,83,22,16.1,98.94,0,Cloudy
7,82,22,16.1,98.84,0,Cloudy
8,83,26,8,98.69,1,Freezing Rain
9,84,32,4.8,98.56,1,"Freezing Rain,Snow Grains"
10,83,26,12.9,98.44,1,Freezing Drizzle
11,83,28,9.7,98.22,1,Freezing Rain
12,81,24,2,98.07,0,Snow
13,83,20,1.2,97.99,0,Snow
14,85,6,2,98.07,0,Snow
15,85,13,8,98.1,0,Snow
16,84,11,6.4,98.16,0,Snow
17,87,15,1.6,98.23,0,Snow
18,89,26,16.1,98.32,0,Snow
19,86,33,2,98.6,0,Snow
20,87,32,2,98.89,0,Snow
21,79,37,4.8,99.09,0,"Snow,Blowing Snow"
22,70,32,12.9,99.28,0,Snow
23,75,35,9.7,99.51,0,"Snow,Blowing Snow"
0,72,39,9.7,99.67,0,"Snow,Blowing Snow"
1,69,24,12.9,99.85,0,Snow
2,70,28,9.7,100.01,0,"Snow,Blowing Snow"
3,71,24,8,100.16,0,"Snow,Blowing Snow"
4,63,20,16.1,100.26,0,Snow
5,63,24,25,100.39,0,Cloudy
6,63,24,25,100.6,0,Cloudy
7,63,26,25,100.73,0,Mostly Cloudy
8,62,20,24.1,100.84,0,Mostly Cloudy
9,61,19,24.1,100.97,0,Cloudy
10,60,22,24.1,101.08,0,Mostly Cloudy
11,59,20,24.1,101.14,0,Mostly Cloudy
12,58,20,48.3,101.16,0,Mostly Cloudy
13,55,17,48.3,101.18,0,Mainly Clear
14,56,17,48.3,101.2,0,Mostly Cloudy
15,56,22,48.3,101.24,0,Mostly Cloudy
16,52,19,24.1,101.3,0,Mostly Cloudy
17,54,13,25,101.36,0,Mostly Cloudy
18,56,20,25,101.46,0,Mainly Clear
19,59,17,25,101.56,0,Mainly Clear
20,58,13,25,101.62,0,Mainly Clear
21,59,11,25,101.65,0,Mostly Cloudy
22,58,13,25,101.74,0,Mostly Cloudy
23,59,9,25,101.79,0,Mostly Cloudy
0,61,11,25,101.81,0,Cloudy
1,61,9,25,101.86,0,Cloudy
2,63,9,25,101.99,0,Cloudy
3,62,4,25,102.04,0,Cloudy
4,61,0,25,102.12,0,Cloudy
5,63,6,25,102.19,0,Mostly Cloudy
6,62,7,25,102.28,0,Mostly Cloudy
7,62,9,25,102.37,0,Mainly Clear
8,62,7,24.1,102.45,0,Clear
9,60,9,48.3,102.57,0,Mainly Clear
10,58,9,48.3,102.66,0,Mainly Clear
11,55,9,48.3,102.68,0,Mainly Clear
12,52,13,48.3,102.67,0,Mainly Clear
13,53,20,48.3,102.65,0,Mainly Clear
14,53,26,48.3,102.66,0,Mainly Clear
15,53,24,48.3,102.71,0,Clear
16,52,24,48.3,102.79,0,Clear
17,55,15,25,102.85,0,Clear
18,57,17,25,102.89,0,Clear
19,58,20,25,102.94,0,Clear
20,61,17,25,102.98,0,Clear
21,63,15,25,103.02,0,Clear
22,66,17,25,103.07,0,Clear
23,68,15,25,103.09,0,Clear
0,66,15,25,103.09,0,Clear
1,65,6,25,103.05,0,Clear
2,68,6,25,103.08,0,Clear
3,67,6,25,103.07,0,Clear
4,66,0,25,103.05,0,Clear
5,69,0,25,103.02,0,Clear
6,68,0,25,103.01,0,Clear
7,73,4,48.3,102.96,0,Mainly Clear
8,67,9,48.3,102.9,0,Mostly Cloudy
9,59,22,48.3,102.75,0,Cloudy
10,65,19,48.3,102.62,0,Mostly Cloudy
11,66,20,48.3,102.44,0,Mostly Cloudy
12,60,19,48.3,102.17,0,Mostly Cloudy
13,61,13,48.3,101.92,0,Cloudy
14,68,13,48.3,101.71,0,Mostly Cloudy
15,63,17,48.3,101.49,0,Cloudy
16,57,9,48.3,101.41,0,Cloudy
17,56,4,25,101.34,0,Mostly Cloudy
18,66,15,25,101.31,0,Mainly Clear
19,70,15,25,101.23,0,Mainly Clear
20,70,13,25,101.19,0,Cloudy
21,71,11,25,101.12,0,Cloudy
22,70,9,25,101.05,0,Cloudy
23,71,7,25,100.98,0,Cloudy
0,71,9,25,100.94,0,Cloudy
1,71,9,25,100.88,0,Cloudy
2,73,9,25,100.84,0,Cloudy
3,73,6,25,100.84,0,Cloudy
4,78,6,6.4,100.8,1,Freezing Drizzle
5,85,6,3.6,100.75,1,"Freezing Drizzle,Snow"
6,84,6,2.4,100.72,1,"Freezing Drizzle,Snow"
7,85,9,2,100.69,0,Snow
8,84,9,2.4,100.65,0,Snow
9,82,15,4,100.59,0,Snow
10,82,15,1.2,100.6,0,Snow
11,83,15,2.4,100.53,0,Snow
12,82,19,2.8,100.38,0,Snow
13,82,22,2.4,100.23,0,Snow
14,85,22,1.6,100.05,0,Snow
15,84,24,1.2,99.9,0,Snow
16,83,28,1.2,99.69,0,Snow
17,84,22,1.6,99.57,0,Snow
18,84,22,2.4,99.38,0,Snow
19,84,24,4.8,99.22,1,"Freezing Drizzle,Snow"
20,85,24,3.2,98.98,1,Freezing Rain
21,86,26,2.8,98.71,1,Freezing Rain
22,89,17,3.2,98.47,1,Freezing Rain
23,90,7,2.8,98.32,1,"Freezing Rain,Fog"
0,90,11,8,98.31,0,Fog
1,66,83,25,98.36,0,Mostly Cloudy
2,72,70,25,98.62,0,Mostly Cloudy
3,70,57,25,99,0,Mostly Cloudy
4,69,48,25,99.36,0,Snow
5,69,46,19.3,99.7,0,Snow
6,65,39,19.3,100,0,Mostly Cloudy
7,64,39,19.3,100.22,0,Mainly Clear
8,63,35,24.1,100.43,0,Mainly Clear
9,61,43,24.1,100.65,0,Mainly Clear
10,61,35,24.1,100.78,0,Mainly Clear
11,58,39,24.1,100.92,0,Mainly Clear
12,57,37,24.1,101,0,Mainly Clear
13,55,32,24.1,101.09,0,Mainly Clear
14,55,28,48.3,101.19,0,Mainly Clear
15,54,30,48.3,101.32,0,Mainly Clear
16,53,26,48.3,101.45,0,Mainly Clear
17,54,26,48.3,101.54,0,Clear
18,60,22,25,101.67,0,Clear
19,61,22,25,101.78,0,Clear
20,62,17,25,101.83,0,Clear
21,63,17,25,101.89,0,Clear
22,62,13,25,101.92,0,Clear
23,66,6,25,101.93,0,Clear
0,69,7,25,101.94,0,Clear
1,76,4,25,101.89,0,Clear
2,77,6,25,101.86,0,Clear
3,73,6,25,101.83,0,Clear
4,78,7,25,101.81,0,Clear
5,76,6,25,101.85,0,Clear
6,69,6,25,101.83,0,Clear
7,68,6,24.1,101.84,0,Clear
8,68,19,48.3,101.84,0,Clear
9,69,17,48.3,101.73,0,Clear
10,64,20,48.3,101.68,0,Mainly Clear
11,62,26,48.3,101.56,0,Mostly Cloudy
12,59,15,48.3,101.42,0,Mostly Cloudy
13,55,20,48.3,101.22,0,Mostly Cloudy
14,53,20,48.3,101.03,0,Mostly Cloudy
15,52,26,48.3,100.88,0,Cloudy
16,52,24,24.1,100.76,0,Cloudy
17,54,17,24.1,100.7,0,Cloudy
18,54,19,25,100.66,0,Cloudy
19,49,30,25,100.61,0,Snow
20,53,30,16.1,100.63,0,Snow
21,77,24,2,100.6,0,Snow
22,68,32,25,100.51,0,Snow
23,69,26,25,100.47,0,Snow
0,71,26,25,100.5,0,Mostly Cloudy
1,73,20,25,100.54,0,Snow
2,73,22,9.7,100.64,0,Snow
3,67,19,25,100.75,0,Mostly Cloudy
4,72,19,16.1,100.87,0,Snow
5,63,33,25,100.98,0,Snow
6,59,28,25,101.13,0,Cloudy
7,57,28,25,101.27,0,Mostly Cloudy
8,62,33,24.1,101.47,0,Mainly Clear
9,61,32,24.1,101.59,0,Clear
10,57,33,24.1,101.72,0,Mainly Clear
11,55,32,24.1,101.84,0,Clear
12,56,30,24.1,101.88,0,Clear
13,51,30,24.1,101.96,0,Clear
14,48,30,48.3,101.98,0,Mainly Clear
15,47,30,48.3,102.09,0,Mainly Clear
16,45,24,48.3,102.15,0,Mainly Clear
17,46,17,48.3,102.21,0,Mainly Clear
18,48,13,25,102.27,0,Mainly Clear
19,51,13,25,102.33,0,Mainly Clear
20,50,9,25,102.34,0,Mainly Clear
21,54,9,25,102.37,0,Mainly Clear
22,54,9,25,102.36,0,Mainly Clear
23,54,6,25,102.37,0,Mostly Cloudy
0,53,6,25,102.29,0,Cloudy
1,52,0,25,102.26,0,Cloudy
2,53,0,25,102.27,0,Cloudy
3,60,7,25,102.23,0,Cloudy
4,58,7,25,102.18,0,Cloudy
5,50,11,25,102.08,0,Cloudy
6,52,9,25,101.98,0,Cloudy
7,50,9,25,102.04,0,Cloudy
8,52,9,25,102.06,0,Cloudy
9,65,13,24.1,102.11,0,Snow
10,65,17,24.1,102.12,0,Snow
11,64,19,24.1,102.09,0,Snow
12,62,15,24.1,102.03,0,Mostly Cloudy
13,59,15,24.1,102.01,0,Mainly Clear
14,55,13,24.1,102.01,0,Clear
15,56,11,24.1,102.06,0,Clear
16,55,7,48.3,102.11,0,Clear
17,53,11,48.3,102.16,0,Clear
18,55,6,25,102.24,0,Clear
19,58,4,25,102.27,0,Clear
20,60,4,25,102.36,0,Clear
21,66,9,25,102.47,0,Clear
22,61,0,25,102.52,0,Clear
23,69,0,25,102.54,0,Mainly Clear
0,70,0,25,102.57,0,Clear
1,72,4,25,102.64,0,Clear
2,70,0,25,102.71,0,Clear
3,67,0,16.1,102.75,0,Cloudy
4,69,0,25,102.79,0,Mainly Clear
5,71,6,16.1,102.84,0,Mainly Clear
6,71,6,0.8,102.85,0,Freezing Fog
7,69,6,12.9,102.91,0,Mainly Clear
8,74,4,24.1,102.98,0,Mainly Clear
9,78,7,48.3,103.01,0,Mostly Cloudy
10,80,9,8,103.02,0,Fog
11,81,6,8,103.04,0,Fog
12,73,9,8,102.97,1,Haze
13,68,11,8,102.86,1,Haze
14,65,9,16.1,102.74,0,Cloudy
15,63,9,16.1,102.65,0,Cloudy
16,59,6,19.3,102.6,0,Cloudy
17,60,19,19.3,102.57,0,Cloudy
18,63,19,19.3,102.52,0,Mostly Cloudy
19,62,19,19.3,102.47,0,Mostly Cloudy
20,69,15,19.3,102.44,0,Mainly Clear
21,70,15,16.1,102.38,0,Clear
22,73,13,16.1,102.33,0,Mostly Cloudy
23,73,9,16.1,102.28,0,Mainly Clear
0,71,11,25,102.22,0,Mostly Cloudy
1,70,11,25,102.14,0,Mainly Clear
2,72,13,25,102.1,0,Mostly Cloudy
3,73,13,25,101.99,0,Cloudy
4,72,11,25,101.88,0,Cloudy
5,73,11,25,101.79,0,Cloudy
6,73,7,25,101.76,0,Cloudy
7,73,13,25,101.67,0,Mostly Cloudy
8,74,11,24.1,101.69,0,Mostly Cloudy
9,72,11,48.3,101.59,0,Mostly Cloudy
10,72,9,48.3,101.58,0,Mostly Cloudy
11,72,11,48.3,101.49,0,Cloudy
12,71,6,48.3,101.33,0,Cloudy
13,75,22,48.3,101.14,0,Cloudy
14,76,26,48.3,101.01,1,Rain
15,77,30,24.1,100.86,1,Rain
16,78,28,24.1,100.71,0,Cloudy
17,78,28,16.1,100.61,1,Rain
18,88,19,4,100.54,1,"Rain,Fog"
19,88,22,8,100.43,1,"Rain,Fog"
20,89,26,9.7,100.32,1,"Drizzle,Fog"
21,89,24,11.3,100.22,1,Drizzle
22,91,28,25,100.1,0,Cloudy
23,90,22,25,100.08,0,Cloudy
0,92,17,12.9,100.04,1,Rain
1,92,19,16.1,100.04,0,Cloudy
2,93,9,9.7,100.09,1,Rain
3,91,19,9.7,100.19,1,Rain
4,81,30,25,100.25,0,Cloudy
5,76,41,25,100.37,0,Cloudy
6,75,28,25,100.45,0,Cloudy
7,75,26,16.1,100.49,0,Cloudy
8,71,28,19.3,100.52,0,Mostly Cloudy
9,71,30,24.1,100.6,0,Cloudy
10,70,35,24.1,100.65,0,Cloudy
11,70,33,24.1,100.7,0,Cloudy
12,67,30,24.1,100.72,0,Cloudy
13,69,39,24.1,100.73,0,Cloudy
14,71,35,24.1,100.75,1,Rain
15,74,26,19.3,100.8,0,Snow
16,74,30,24.1,100.82,0,Cloudy
17,73,26,24.1,100.88,0,Snow Showers
18,72,22,25,100.95,0,Snow Showers
19,71,32,25,101.01,0,Snow Showers
20,72,19,25,101.06,0,Cloudy
21,74,20,25,101.11,0,Mostly Cloudy
22,72,22,25,101.13,0,Mostly Cloudy
23,72,28,25,101.16,0,Snow Showers
0,69,28,25,101.2,0,Cloudy
1,68,22,25,101.26,0,Mostly Cloudy
2,66,20,25,101.37,0,Mostly Cloudy
3,65,24,25,101.45,0,Cloudy
4,67,24,25,101.52,0,Cloudy
5,64,33,25,101.58,0,Mostly Cloudy
6,62,35,25,101.66,0,Mostly Cloudy
7,63,37,25,101.79,0,Mostly Cloudy
8,62,26,24.1,101.94,0,Mostly Cloudy
9,62,28,24.1,102.05,0,Cloudy
10,62,22,24.1,102.09,0,Mostly Cloudy
11,60,19,24.1,102.14,0,Mostly Cloudy
12,59,20,24.1,102.06,0,Mostly Cloudy
13,58,20,24.1,102.01,0,Mainly Clear
14,60,22,24.1,101.98,0,Mainly Clear
15,59,22,24.1,101.94,0,Mainly Clear
16,59,19,24.1,101.96,0,Mostly Cloudy
17,60,20,24.1,102.01,0,Mainly Clear
18,61,11,25,102.07,0,Mainly Clear
19,62,13,25,102.14,0,Mostly Cloudy
20,59,7,25,102.07,0,Mostly Cloudy
21,64,7,25,102.01,0,Mostly Cloudy
22,64,0,25,101.99,0,Mostly Cloudy
23,63,6,25,102.01,0,Mostly Cloudy
0,64,6,25,101.99,0,Mostly Cloudy
1,67,4,25,101.95,0,Clear
2,71,6,25,101.99,0,Clear
3,71,0,25,101.97,0,Clear
4,67,0,25,101.95,0,Clear
5,68,6,25,102.02,0,Clear
6,73,6,25,102.06,0,Clear
7,74,6,24.1,102.01,0,Mainly Clear
8,72,6,24.1,102.08,0,Clear
9,70,11,24.1,102.01,0,Mainly Clear
10,59,11,24.1,102.04,0,Mainly Clear
11,57,7,24.1,102.05,0,Mainly Clear
12,54,11,24.1,101.88,0,Mainly Clear
13,54,15,24.1,101.71,0,Mostly Cloudy
14,49,11,24.1,101.6,0,Mostly Cloudy
15,42,13,24.1,101.53,0,Mostly Cloudy
16,52,19,24.1,101.52,0,Cloudy
17,54,20,24.1,101.4,0,Cloudy
18,49,24,25,101.28,0,Cloudy
19,49,17,25,101.25,0,Cloudy
20,52,17,25,101.15,0,Snow Showers
21,58,20,25,100.99,0,Snow
22,68,22,16.1,100.92,0,Snow
23,77,22,6.4,100.81,0,Snow
0,79,28,4.8,100.68,0,Snow
1,81,24,2.4,100.58,0,Snow
2,81,26,3.2,100.47,0,Snow
3,81,28,4,100.33,0,Snow
4,81,26,2.4,100.13,0,Snow
5,82,22,16.1,99.98,0,Snow
6,86,19,19.3,99.8,0,Snow
7,86,22,16.1,99.61,1,Freezing Rain
8,86,20,12.9,99.47,1,Freezing Rain
9,86,17,12.9,99.34,1,Rain
10,88,17,8,99.18,1,"Rain,Fog"
11,88,20,2.4,99.08,1,"Drizzle,Fog"
